id,product_name,price,description,stock,created_at,updated_at
1,iPhone 16 Pro 256GB,36900.0,Apple 原廠旗艦機，鈦金屬邊框與 48MP 鏡頭,15,2026-09-05 07:24:34,2026-09-05 07:24:34
2,AirPods Pro 2 (USB-C),7490.0,主動降噪耳機，適應性音訊與長效續航,40,2026-09-05 07:24:34,2026-09-05 07:24:34
3,MacBook Air 15吋 M3,42900.0,極致輕薄筆電，16GB 統一記憶體 / 512GB SSD,10,2026-09-05 07:24:34,2026-09-05 07:24:34
4,USB-C 編織快速充電線 2M,590.0,最高支援 100W PD 快充，耐折抗磨損,120,2026-09-05 07:24:34,2026-09-05 07:24:34
5,極簡人體工學透氣網椅,8990.0,全椅透氣網布，四段自適應腰靠支撐,8,2026-09-05 07:24:34,2026-09-05 07:24:34
6,GaN 氮化鎵 65W 三孔快充頭,1190.0,支援 2C1A 同時輸出，體積小巧好攜帶,75,2026-09-05 07:24:34,2026-09-05 07:24:34
7,三模機械式 RGB 鍵盤 (茶軸),3280.0,支援藍牙/2.4G/有線三模，PBT 熱昇華鍵帽,25,2026-09-05 07:24:34,2026-09-05 07:24:34
8,人體工學靜音垂直滑鼠,1580.0,57度握角減輕手腕負擔，支援跨裝置切換,35,2026-09-05 07:24:34,2026-09-05 07:24:34
9,27吋 4K HDR 專業設計螢幕,14900.0,IPS面板 99% sRGB，支援 USB-C 90W 反向供電,6,2026-09-05 07:24:34,2026-09-05 07:24:34
10,雙層不銹鋼陶瓷易潔保溫杯 500ml,780.0,內膽陶瓷易潔層，不卡咖啡與茶垢,50,2026-09-05 07:24:34,2026-09-05 07:24:34
11,精品中深焙濾掛咖啡組 (20入),620.0,帶有黑巧克力與堅果香氣，手工挑豆烘焙,60,2026-09-05 07:24:34,2026-09-05 07:24:34
12,日系抗藍光平光護眼鏡,1280.0,超輕鈦金屬鏡架，有效濾除40%有害藍光,30,2026-09-05 07:24:34,2026-09-05 07:24:34
13,高階降噪耳罩式無線耳機,9900.0,業界頂級主動降噪，30小時超長續航力,12,2026-09-05 07:24:34,2026-09-05 07:24:34
14,防潑水商務機能電腦後背包,2180.0,可容納 16 吋筆電，具備獨立乾濕分離層,28,2026-09-05 07:24:34,2026-09-05 07:24:34
